Trade #,Entry Date,Exit Date,Type,Entry Price,Exit Price,Initial SL,Hard TP,Lots,PnL USD,Balance,Result,Exit Reason
92,2026-03-17 06:00,2026-03-17 15:00,SHORT,5013.90,5013.40,5047.40,4930.15,6.22,3.11,10414.81,BREAKEVEN,"Breakeven / Trailing SL"
93,2026-03-18 07:00,2026-03-18 11:00,SHORT,4999.10,4930.91,5026.37,4930.91,7.64,520.74,10935.55,WIN,"Take Profit Target Hit"
94,2026-03-20 06:00,2026-03-20 08:00,SHORT,4670.30,4731.64,4731.64,4516.95,3.57,-218.71,10716.84,LOSS,"Stop Loss Hit"
95,2026-03-20 09:00,2026-03-20 18:00,SHORT,4668.40,4512.56,4730.73,4512.56,3.44,535.84,11252.68,WIN,"Take Profit Target Hit"
96,2026-03-23 15:00,2026-03-24 23:00,SHORT,4365.60,4495.02,4495.02,4042.04,1.74,-225.05,11027.62,LOSS,"Stop Loss Hit"
97,2026-04-02 14:00,2026-04-05 22:00,LONG,4707.90,4643.20,4643.20,4869.65,3.41,-220.55,10807.07,LOSS,"Stop Loss Hit"
98,2026-04-09 10:00,2026-04-09 13:00,LONG,4765.70,4766.20,4728.91,4857.67,5.88,2.94,10810.01,BREAKEVEN,"Breakeven / Trailing SL"
99,2026-04-10 03:00,2026-04-10 08:00,LONG,4789.10,4755.85,4755.85,4872.23,6.50,-216.20,10593.81,LOSS,"Stop Loss Hit"
100,2026-04-10 10:00,2026-04-10 15:00,LONG,4780.70,4781.20,4749.62,4858.39,6.82,3.41,10597.22,BREAKEVEN,"Breakeven / Trailing SL"
101,2026-04-10 18:00,2026-04-12 22:00,LONG,4789.50,4757.94,4757.94,4868.40,6.72,-211.94,10385.27,LOSS,"Stop Loss Hit"
102,2026-04-15 08:00,2026-04-15 09:00,LONG,4841.60,4813.58,4813.58,4911.64,7.41,-207.71,10177.57,LOSS,"Stop Loss Hit"
103,2026-04-15 11:00,2026-04-16 13:00,LONG,4835.70,4806.41,4806.41,4908.93,6.95,-203.55,9974.02,LOSS,"Stop Loss Hit"
104,2026-04-20 13:00,2026-04-21 12:00,LONG,4838.80,4786.66,4786.66,4969.16,3.83,-199.48,9774.54,LOSS,"Stop Loss Hit"
105,2026-04-22 11:00,2026-04-23 00:00,SHORT,4768.90,4768.40,4797.06,4698.50,6.94,3.47,9778.01,BREAKEVEN,"Breakeven / Trailing SL"
106,2026-04-23 01:00,2026-04-23 06:00,SHORT,4739.40,4738.90,4770.08,4662.70,6.37,3.19,9781.19,BREAKEVEN,"Breakeven / Trailing SL"
107,2026-04-23 15:00,2026-04-23 17:00,SHORT,4737.30,4736.80,4767.45,4661.93,6.49,3.24,9784.44,BREAKEVEN,"Breakeven / Trailing SL"
108,2026-04-26 22:00,2026-04-27 02:00,SHORT,4699.60,4731.60,4731.60,4619.60,6.11,-195.69,9588.75,LOSS,"Stop Loss Hit"
109,2026-04-27 08:00,2026-04-28 05:00,SHORT,4722.00,4656.36,4748.26,4656.36,7.30,479.44,10068.19,WIN,"Take Profit Target Hit"
110,2026-04-30 03:00,2026-04-30 06:00,SHORT,4567.90,4596.78,4596.78,4495.70,6.97,-201.36,9866.82,LOSS,"Stop Loss Hit"
111,2026-05-05 10:00,2026-05-05 12:00,SHORT,4554.10,4579.61,4579.61,4490.32,7.73,-197.34,9669.49,LOSS,"Stop Loss Hit"
112,2026-05-05 19:00,2026-05-05 23:00,SHORT,4566.00,4590.35,4590.35,4505.12,7.94,-193.39,9476.10,LOSS,"Stop Loss Hit"
113,2026-05-08 01:00,2026-05-10 22:00,LONG,4731.20,4693.92,4693.92,4824.39,5.08,-189.52,9286.58,LOSS,"Stop Loss Hit"
114,2026-05-14 13:00,2026-05-15 04:00,SHORT,4685.20,4610.52,4715.07,4610.52,6.22,464.33,9750.90,WIN,"Take Profit Target Hit"
115,2026-05-18 14:00,2026-05-18 23:00,SHORT,4550.80,4588.86,4588.86,4455.64,5.12,-195.02,9555.89,LOSS,"Stop Loss Hit"
116,2026-05-19 02:00,2026-05-19 13:00,SHORT,4550.30,4470.64,4582.16,4470.64,6.00,477.79,10033.68,WIN,"Take Profit Target Hit"
117,2026-05-20 13:00,2026-05-20 14:00,SHORT,4485.70,4513.87,4513.87,4415.29,7.12,-200.67,9833.01,LOSS,"Stop Loss Hit"
118,2026-05-21 10:00,2026-05-21 17:00,SHORT,4511.90,4541.63,4541.63,4437.58,6.62,-196.66,9636.35,LOSS,"Stop Loss Hit"
119,2026-05-22 10:00,2026-05-22 14:00,SHORT,4515.50,4515.00,4542.21,4448.72,7.22,3.61,9639.95,BREAKEVEN,"Breakeven / Trailing SL"
120,2026-05-26 09:00,2026-05-26 23:00,SHORT,4523.10,4522.60,4548.52,4459.54,7.58,3.79,9643.75,BREAKEVEN,"Breakeven / Trailing SL"
121,2026-05-27 01:00,2026-05-27 07:00,SHORT,4507.50,4507.00,4532.72,4444.45,7.65,3.82,9647.57,BREAKEVEN,"Breakeven / Trailing SL"
122,2026-05-27 10:00,2026-05-27 14:00,SHORT,4476.20,4475.70,4506.86,4399.55,6.29,3.15,9650.72,BREAKEVEN,"Breakeven / Trailing SL"
123,2026-05-27 22:00,2026-05-28 01:00,SHORT,4488.00,4487.50,4517.04,4415.41,6.65,3.32,9654.04,BREAKEVEN,"Breakeven / Trailing SL"
124,2026-06-04 00:00,2026-06-04 02:00,SHORT,4475.60,4502.40,4502.40,4408.60,7.20,-193.08,9460.96,LOSS,"Stop Loss Hit"
125,2026-06-04 07:00,2026-06-04 11:00,SHORT,4488.50,4515.75,4515.75,4420.37,6.94,-189.22,9271.74,LOSS,"Stop Loss Hit"
126,2026-06-04 14:00,2026-06-05 07:00,SHORT,4493.10,4492.60,4524.79,4413.88,5.85,2.93,9274.67,BREAKEVEN,"Breakeven / Trailing SL"
127,2026-06-05 12:00,2026-06-05 13:00,SHORT,4432.10,4431.60,4460.98,4359.90,6.42,3.21,9277.88,BREAKEVEN,"Breakeven / Trailing SL"
128,2026-06-08 13:00,2026-06-09 13:00,SHORT,4351.80,4388.40,4388.40,4260.29,5.07,-185.56,9092.32,LOSS,"Stop Loss Hit"
129,2026-06-16 00:00,2026-06-16 14:00,LONG,4340.30,4340.80,4314.08,4405.86,6.93,3.47,9095.79,BREAKEVEN,"Breakeven / Trailing SL"
130,2026-06-16 15:00,2026-06-17 14:00,LONG,4355.70,4356.20,4330.18,4419.49,7.13,3.56,9099.35,BREAKEVEN,"Breakeven / Trailing SL"
131,2026-06-18 05:00,2026-06-18 16:00,SHORT,4328.00,4235.52,4364.99,4235.52,4.92,454.97,9554.32,WIN,"Take Profit Target Hit"
132,2026-06-22 12:00,2026-06-24 11:00,SHORT,4211.40,4062.86,4270.82,4062.86,3.22,477.72,10032.04,WIN,"Take Profit Target Hit"
133,2026-06-25 23:00,2026-06-26 09:00,SHORT,4030.20,4063.53,4063.53,3946.87,6.02,-200.64,9831.40,LOSS,"Stop Loss Hit"
134,2026-06-30 12:00,2026-06-30 14:00,SHORT,4023.90,4054.22,4054.22,3948.11,6.49,-196.63,9634.77,LOSS,"Stop Loss Hit"
135,2026-06-30 19:00,2026-07-01 11:00,SHORT,4030.20,4029.70,4058.27,3960.03,6.87,3.43,9638.20,BREAKEVEN,"Breakeven / Trailing SL"
136,2026-07-06 07:00,2026-07-06 14:00,LONG,4175.70,4141.83,4141.83,4260.37,5.69,-192.76,9445.44,LOSS,"Stop Loss Hit"
137,2026-07-06 16:00,2026-07-07 19:00,LONG,4166.90,4122.55,4122.55,4277.78,4.26,-188.91,9256.53,LOSS,"Stop Loss Hit"
138,2026-07-08 19:00,2026-07-09 08:00,SHORT,4090.20,4124.20,4124.20,4005.19,5.44,-185.13,9071.40,LOSS,"Stop Loss Hit"
139,2026-07-10 05:00,2026-07-10 08:00,LONG,4125.50,4104.85,4104.85,4177.11,8.79,-181.43,8889.97,LOSS,"Stop Loss Hit"
140,2026-07-10 15:00,2026-07-12 22:00,LONG,4122.10,4097.79,4097.79,4182.88,7.31,-177.80,8712.17,LOSS,"Stop Loss Hit"
141,2026-07-14 06:00,2026-07-14 12:00,SHORT,4030.40,4054.03,4054.03,3971.32,7.37,-174.24,8537.93,LOSS,"Stop Loss Hit"
142,2026-07-15 01:00,2026-07-15 12:00,SHORT,4042.90,4068.18,4068.18,3979.71,6.76,-170.76,8367.17,LOSS,"Stop Loss Hit"
143,2026-07-15 16:00,2026-07-15 17:00,SHORT,4040.30,4066.04,4066.04,3975.95,6.50,-167.34,8199.82,LOSS,"Stop Loss Hit"
144,2026-07-17 07:00,2026-07-17 12:00,SHORT,3997.00,3996.50,4022.53,3933.17,6.42,3.21,8203.04,BREAKEVEN,"Breakeven / Trailing SL"
145,2026-07-19 22:00,2026-07-20 01:00,SHORT,3997.90,4023.07,4023.07,3934.98,6.52,-164.06,8038.98,LOSS,"Stop Loss Hit"
146,2026-07-20 06:00,2026-07-20 08:00,SHORT,4008.20,4032.73,4032.73,3946.89,6.56,-160.78,7878.20,LOSS,"Stop Loss Hit"
147,2026-07-20 16:00,2026-07-21 01:00,SHORT,4013.90,4037.87,4037.87,3953.97,6.57,-157.56,7720.63,LOSS,"Stop Loss Hit"
148,2026-07-22 23:00,2026-07-23 07:00,LONG,4135.80,4108.75,4108.75,4203.42,5.71,-154.41,7566.22,LOSS,"Stop Loss Hit"
149,2026-07-24 18:00,2026-07-26 22:00,SHORT,4056.70,4076.94,4076.94,4006.09,7.48,-151.32,7414.89,LOSS,"Stop Loss Hit"
150,2026-07-27 19:00,2026-07-28 00:00,LONG,4085.50,4065.53,4065.53,4135.42,7.43,-148.30,7266.60,LOSS,"Stop Loss Hit"
151,2026-07-28 16:00,2026-07-29 05:00,SHORT,4037.60,4037.10,4059.28,3983.40,6.70,3.35,7269.95,BREAKEVEN,"Breakeven / Trailing SL"
152,2026-07-30 08:00,2026-07-31 08:00,LONG,4119.20,4119.70,4084.40,4206.19,4.18,2.09,7272.04,BREAKEVEN,"Breakeven / Trailing SL"
153,2026-08-03 02:00,2026-08-03 13:00,LONG,4117.80,4093.48,4093.48,4178.59,5.98,-145.44,7126.60,LOSS,"Stop Loss Hit"
154,2026-08-04 11:00,2026-08-04 18:00,LONG,4132.10,4132.60,4110.35,4186.48,6.55,3.28,7129.87,BREAKEVEN,"Breakeven / Trailing SL"
155,2026-08-05 00:00,2026-08-05 02:00,LONG,4138.20,4192.18,4116.61,4192.18,6.60,356.49,7486.37,WIN,"Take Profit Target Hit"
156,2026-08-06 13:00,2026-08-06 15:00,LONG,4325.90,4293.53,4293.53,4406.84,4.62,-149.73,7336.64,LOSS,"Stop Loss Hit"
157,2026-08-06 23:00,2026-08-07 11:00,LONG,4311.00,4382.52,4282.39,4382.52,5.13,366.83,7703.47,WIN,"Take Profit Target Hit"
